,Function,Taylor Expression
11230,-6*exp(2*x),-4*x**4 - 8*x**3 - 12*x**2 - 12*x - 6
11231,x - 2*exp(x),-x**4/12 - x**3/3 - x**2 - x - 2
11232,log(cos(x)**2 + 1),x**4/24 - x**2/2 + log(2)
11233,cos(x),x**4/24 - x**2/2 + 1
11234,x**4 - 2*x**2*cos(x) + cos(x)**2,7*x**4/3 - 3*x**2 + 1
11235,cos(x)**2,x**4/3 - x**2 + 1
11236,exp(-2.5*x**2),3.125*x**4 - 2.5*x**2 + 1
11237,3*sin(x),x*(6 - x**2)/2
11238,sin(9*sqrt(x**2 + 1)*exp(x)),x**4*(1431*sin(9)/8 - 363*cos(9)) + x**3*(-81*sin(9) - 231*cos(9)/2) + x**2*(-81*sin(9)/2 + 9*cos(9)) + 9*x*cos(9) + sin(9)
11239,-2*x**2 + 0.5*sqrt(x**2 + 1),-0.0625*x**4 - 1.75*x**2 + 0.5
11240,-0.5*exp(x) + 0.5*sin(x),-0.0208333333333333*x**4 - 0.166666666666667*x**3 - 0.25*x**2 - 0.5
11241,-sin(3*cos(x)),x**4*(-cos(3) + 9*sin(3))/8 + 3*x**2*cos(3)/2 - sin(3)
11242,2*sqrt(x**2 + 1),-x**4/4 + x**2 + 2
11243,log(4*exp(2*x) + 1),8*x**4/1875 - 16*x**3/125 + 8*x**2/25 + 8*x/5 + log(5)
11244,x + 1,x + 1
11245,sin(3*sqrt(x**2 + 1)),-3*x**4*(cos(3) + 3*sin(3))/8 + 3*x**2*cos(3)/2 + sin(3)
11246,-0.25*sqrt(x**2 + 1)*exp(x),-0.0416666666666667*x**4 - 0.166666666666667*x**3 - 0.25*x**2 - 0.25*x - 0.25
11247,cos(0.5*sin(x)),0.0442708333333333*x**4 - 0.125*x**2 + 1
11248,cos(2*x),2*x**4/3 - 2*x**2 + 1
11249,log(sin(x)**2 + 2*sin(x)*cos(x) + cos(x)**2 + 1),5*x**4/12 - x**3/3 - x**2/2 + x + log(2)
11250,-2*log(x + 1) + 2*sin(x),x**2*(x**2/2 - x + 1)
11251,-3*x**2,-3*x**2
11252,cos(x),x**4/24 - x**2/2 + 1
11253,3*x**2 + 2*cos(x),x**4/12 + 2*x**2 + 2
11254,exp(-0.5*x**2*sin(x)),1 - 0.5*x**3
11255,-x**2,-x**2
11256,1.5*x**3,1.5*x**3
11257,-9*x*log(x + 1),x**2*(-3*x**2 + 9*x/2 - 9)
11258,2*exp(x) + 0.5*cos(x),0.104166666666667*x**4 + x**3/3 + 0.75*x**2 + 2*x + 2.5
11259,81*sin(x)**2*cos(x)**2,x**2*(81 - 108*x**2)
11260,-sin(3*x**2),-3*x**2
11261,-0.25*sqrt(x**2 + 1)*cos(x),0.0833333333333333*x**4 - 0.25
11262,36*log(x + 1)**2*cos(x)**2,3*x**2*(-x**2 - 12*x + 12)
11263,-0.5*exp(x),-0.0208333333333333*x**4 - 0.0833333333333333*x**3 - 0.25*x**2 - 0.5*x - 0.5
11264,-0.5*log(x + 1),x*(0.125*x**3 - 0.166666666666667*x**2 + 0.25*x - 0.5)
11265,x**2 - 3*cos(x),-x**4/8 + 5*x**2/2 - 3
11266,0.5*x**2 - 3*exp(x),-x**4/8 - x**3/2 - 1.0*x**2 - 3*x - 3
11267,-2*log(x + 1)*cos(x),x*(x**2 + 3*x - 6)/3
11268,sin(3*x**3 + 3*x**2),3*x**2*(x + 1)
11269,-sqrt(x**2 + 1),x**4/8 - x**2/2 - 1
11270,-x**3,-x**3
11271,4*x**4*cos(x)**2,4*x**4
11272,-sin(3*x - 2*sin(x)),-x**3/6 - x
11273,-2*log(x + 1)*sin(x),x**2*(-x**2/3 + x - 2)
11274,-0.25*x**4,-0.25*x**4
11275,-0.5*x**2,-0.5*x**2
11276,x,x
11277,cos(0.5*sin(x)),0.0442708333333333*x**4 - 0.125*x**2 + 1
11278,exp(x**2),x**4/2 + x**2 + 1
11279,-0.5*x**3 + x,-0.5*x**3 + x
11280,0.5*log(x + 1) + 0.5*cos(x),-0.104166666666667*x**4 + 0.166666666666667*x**3 - 0.5*x**2 + 0.5*x + 0.5
11281,-2.5*x**2,-2.5*x**2
11282,-exp(x),-x**4/24 - x**3/6 - x**2/2 - x - 1
11283,-3*x,-3*x
11284,-exp(x),-x**4/24 - x**3/6 - x**2/2 - x - 1
11285,-3*x + 0.5*sqrt(x**2 + 1),-0.0625*x**4 + 0.25*x**2 - 3*x + 0.5
11286,exp(1.5*x**2),1.125*x**4 + 1.5*x**2 + 1
11287,0.5*log(x + 1),x*(-0.125*x**3 + 0.166666666666667*x**2 - 0.25*x + 0.5)
11288,exp(exp(x)),E*(15*x**4 + 20*x**3 + 24*x**2 + 24*x + 24)/24
11289,cos(0.5*x**2 - 2*x),0.541666666666667*x**4 + 1.0*x**3 - 2*x**2 + 1
11290,exp(2*x)*exp(3*cos(x)),(-13*x**4 - 20*x**3 + 6*x**2 + 24*x + 12)*exp(3)/12
11291,9*exp(2*x),6*x**4 + 12*x**3 + 18*x**2 + 18*x + 9
11292,cos(x**3 + 0.5*sqrt(x**2 + 1)),0.00253964110368854*x**4 - 0.479425538604203*x**3 - 0.119856384651051*x**2 + 0.877582561890373
11293,6*sin(x)*cos(x),-4*x**3 + 6*x
11294,-0.5*exp(x),-0.0208333333333333*x**4 - 0.0833333333333333*x**3 - 0.25*x**2 - 0.5*x - 0.5
11295,x,x
11296,-0.5*log(x + 1)*cos(x),x*(0.0833333333333333*x**2 + 0.25*x - 0.5)
11297,cos(x),x**4/24 - x**2/2 + 1
11298,2*log(x + 1) + 2*cos(x),-5*x**4/12 + 2*x**3/3 - 2*x**2 + 2*x + 2
11299,-2*exp(x),-x**4/12 - x**3/3 - x**2 - 2*x - 2
11300,-0.5*sin(x),x*(0.0833333333333333*x**2 - 0.5)
11301,cos(2*x**3 - 0.5*cos(x)),-0.0374124871133284*x**4 + 0.958851077208406*x**3 + 0.119856384651051*x**2 + 0.877582561890373
11302,-2*sqrt(x**2 + 1),x**4/4 - x**2 - 2
11303,4*x**2 + 2.0*sqrt(x**2 + 1)*cos(x) + 0.25*cos(x)**2 + 4,-0.583333333333333*x**4 + 3.75*x**2 + 6.25
11304,-0.5*x**3*sin(x),-0.5*x**4
11305,-1.0*sin(x)**2,x**2*(0.333333333333333*x**2 - 1.0)
11306,3*sin(x),x*(6 - x**2)/2
11307,0.5*sqrt(x**2 + 1),-0.0625*x**4 + 0.25*x**2 + 0.5
11308,4*x**2*cos(x)**2 + 4*cos(x)**2,4 - 8*x**4/3
11309,x**4 + 1.0*x**3 + 0.25*x**2,x**2*(x**2 + 1.0*x + 0.25)
11310,9*x**4,9*x**4
11311,-sin(2*x**2*cos(x)),x**2*(x**2 - 2)
11312,-x - 3*cos(x),-x**4/8 + 3*x**2/2 - x - 3
11313,-sin(3*cos(x)),x**4*(-cos(3) + 9*sin(3))/8 + 3*x**2*cos(3)/2 - sin(3)
11314,-sqrt(x**2 + 1),x**4/8 - x**2/2 - 1
11315,-x**3 - 3*sin(x),x*(-x**2 - 6)/2
11316,cos(0.5*log(x + 1)),-0.111979166666667*x**4 + 0.125*x**3 - 0.125*x**2 + 1
11317,-sin(2*sqrt(x**2 + 1)),x**4*(cos(2) + 2*sin(2))/4 - x**2*cos(2) - sin(2)
11318,(x + 1)**0.5*exp(exp(x)),E*(0.940104166666667*x**4 + 1.27083333333333*x**3 + 1.375*x**2 + 1.5*x + 1)
11319,9*x**2 + 9,9*x**2 + 9
11320,4*sin(x)**2,4*x**2*(3 - x**2)/3
11321,sin(0.25*sin(x)*cos(x)),x*(0.25 - 0.169270833333333*x**2)
11322,log(1.0*x**2*cos(x)**2 + 1.0*cos(x)**2 + 1),0.693147180559945 - 0.333333333333333*x**4
11323,-1.0*log(x + 1)*cos(x),x*(0.166666666666667*x**2 + 0.5*x - 1.0)
11324,-3*sqrt(x**2 + 1),3*x**4/8 - 3*x**2/2 - 3
11325,-2*log(x + 1) + 3*sin(x),x*(x**3/2 - 7*x**2/6 + x + 1)
11326,2.5*cos(x),0.104166666666667*x**4 - 1.25*x**2 + 2.5
11327,-1.0*x**4,-1.0*x**4
11328,-2*cos(x),-x**4/12 + x**2 - 2
11329,log(36*x**2*cos(x)**2 + 1),x**2*(36 - 684*x**2)
11330,1.5*cos(x),0.0625*x**4 - 0.75*x**2 + 1.5
11331,cos(2*x**2),1 - 2*x**4
11332,6*x**3*log(x + 1),6*x**4
11333,0.25*exp(2*x),0.166666666666667*x**4 + 0.333333333333333*x**3 + 0.5*x**2 + 0.5*x + 0.25
11334,3*x*cos(x),3*x*(2 - x**2)/2
11335,-3*x - sqrt(x**2 + 1),x**4/8 - x**2/2 - 3*x - 1
11336,cos(6*x**2*cos(x)),1 - 18*x**4
11337,-sqrt(x**2 + 1) - 3*cos(x),x**2 - 4
11338,-log(x + 1),x*(x**3/4 - x**2/3 + x/2 - 1)
11339,-sin(x),x**3/6 - x
11340,-0.5*x**3 + log(x + 1),x*(-x**3 - 0.666666666666667*x**2 - 2*x + 4)/4
11341,1.0*x**3*sqrt(x**2 + 1),1.0*x**3
11342,exp(-2*x*sqrt(x**2 + 1)),8*x**4/3 - 7*x**3/3 + 2*x**2 - 2*x + 1
11343,cos(x**2 - 0.5*sin(x)),-0.455729166666667*x**4 + 0.5*x**3 - 0.125*x**2 + 1
11344,-2*x**3 + log(x + 1),x*(-3*x**3 - 20*x**2 - 6*x + 12)/12
11345,sin(x),-x**3/6 + x
11346,2.25*exp(2*x),1.5*x**4 + 3.0*x**3 + 4.5*x**2 + 4.5*x + 2.25
11347,-2*x,-2*x
11348,-sin(3*x),9*x**3/2 - 3*x
11349,-2*x**3 + 3*sqrt(x**2 + 1),-3*x**4/8 - 2*x**3 + 3*x**2/2 + 3
11350,x + 2*sin(x),x*(9 - x**2)/3
11351,9*exp(2*x),6*x**4 + 12*x**3 + 18*x**2 + 18*x + 9
11352,cos(x*sin(x)),1 - x**4/2
11353,16*x**2*cos(x)**2 + 16*cos(x)**2,16 - 32*x**4/3
11354,sqrt(x**2 + 1) - 2*sin(x),-x**4/8 + x**3/3 + x**2/2 - 2*x + 1
11355,-3*cos(x),-x**4/8 + 3*x**2/2 - 3
11356,-sin(3*x**2),-3*x**2
11357,cos(3*x + 3*log(x + 1)),375*x**4/8 + 9*x**3 - 18*x**2 + 1
11358,sin(x),-x**3/6 + x
11359,-0.5*x - log(x + 1),x*(0.25*x**3 - 0.333333333333333*x**2 + 0.5*x - 1.5)
11360,-log(x + 1) + cos(x),7*x**4/24 - x**3/3 - x + 1
11361,2*exp(x) + sin(x),x**4/12 + x**3/6 + x**2 + 3*x + 2
11362,-log(x + 1),x*(x**3/4 - x**2/3 + x/2 - 1)
11363,-sqrt(x**2 + 1),x**4/8 - x**2/2 - 1
11364,cos(sqrt(x**2 + 1) - 0.5*sin(x)),0.114157654750667*x**4 + 0.0474223488828791*x**3 - 0.488273280637466*x**2 + 0.420735492403948*x + 0.54030230586814
11365,3*x**3 - 3*exp(x),-x**4/8 + 5*x**3/2 - 3*x**2/2 - 3*x - 3
11366,log(4*cos(x)**2 + 1),-4*x**4/75 - 4*x**2/5 + log(5)
11367,0.5*x**3,0.5*x**3
11368,cos(0.5*sqrt(x**2 + 1)),0.00253964110368854*x**4 - 0.119856384651051*x**2 + 0.877582561890373
11369,0.25*x**3*cos(x),0.25*x**3
11370,-log(x + 1),x*(x**3/4 - x**2/3 + x/2 - 1)
11371,sin(2*cos(x)),x**4*(-6*sin(2) + cos(2))/12 - x**2*cos(2) + sin(2)
11372,-sin(0.5*cos(x)),-0.00330092195800142*x**4 + 0.219395640472593*x**2 - 0.479425538604203
11373,exp(2*x),2*x**4/3 + 4*x**3/3 + 2*x**2 + 2*x + 1
11374,-sin(2*x**3 + 3*x**2),x**2*(-2*x - 3)
11375,-sin(sqrt(x**2 + 1) - 2*cos(x)),x**4*(-27*sin(1) + 5*cos(1))/24 - 3*x**2*cos(1)/2 + sin(1)
11376,0.5*x**4,0.5*x**4
11377,2.25*log(x + 1)**4,2.25*x**4
11378,1/(x**2*exp(3*x**2) + 2*x*exp(3*x**2) + exp(3*x**2)),x**4/2 + 2*x**3 - 2*x + 1
11379,-sin(3*x**3 - 3*sin(x)),x*(3 - 8*x**2)
11380,2*cos(x),x**4/12 - x**2 + 2
11381,exp(-exp(x)),(x**4/24 + x**3/6 - x + 1)*exp(-1)
11382,-2*log(x + 1),x*(3*x**3 - 4*x**2 + 6*x - 12)/6
11383,-2*x**4,-2*x**4
11384,-2*sqrt(x**2 + 1),x**4/4 - x**2 - 2
11385,3*x**2,3*x**2
11386,sin(x),-x**3/6 + x
11387,cos(0.5*x**2),1 - 0.125*x**4
11388,-cos(x),-x**4/24 + x**2/2 - 1
11389,-3*x**2 + sqrt(x**2 + 1),-x**4/8 - 5*x**2/2 + 1
11390,exp(2*sqrt(x**2 + 1)),(x**4/4 + x**2 + 1)*exp(2)
11391,0.5*x**3,0.5*x**3
11392,-sin(0.5*x*cos(x)),x*(0.270833333333333*x**2 - 0.5)
11393,log(4*x**2*exp(2*x) + 4*exp(2*x) + 1),-952*x**4/1875 + 24*x**3/125 + 28*x**2/25 + 8*x/5 + log(5)
11394,log(36*log(x + 1)**4 + 1),36*x**4
11395,2*x**3 - 3*sin(x),x*(5*x**2 - 6)/2
11396,3*x**3 + x**2,x**2*(3*x + 1)
11397,-2*x,-2*x
11398,0.5*x**2,0.5*x**2
11399,-2*x**3 - 0.5*exp(x),-0.0208333333333333*x**4 - 2.08333333333333*x**3 - 0.25*x**2 - 0.5*x - 0.5
11400,-2*cos(x),-x**4/12 + x**2 - 2
11401,3*x,3*x
11402,x**3 - 2*exp(x),-x**4/12 + 2*x**3/3 - x**2 - 2*x - 2
11403,x**2 + 1.0*x*cos(x) + 0.25*cos(x)**2,0.0833333333333333*x**4 - 0.5*x**3 + 0.75*x**2 + 1.0*x + 0.25
11404,-3*x**2,-3*x**2
11405,4*cos(x)**4,20*x**4/3 - 8*x**2 + 4
11406,-2*log(x + 1),x*(3*x**3 - 4*x**2 + 6*x - 12)/6
11407,-x + 2*cos(x),x**4/12 - x**2 - x + 2
11408,cos(2*x + 2*cos(x)),x**4*(-25*sin(2)/12 + cos(2)/6) + x**3*(2*cos(2) + 4*sin(2)/3) + x**2*(-2*cos(2) + sin(2)) - 2*x*sin(2) + cos(2)
11409,-1.0*sin(x)*cos(x),x*(0.666666666666667*x**2 - 1.0)
11410,2*sqrt(x**2 + 1) - 2*exp(x),x*(-x**3 - x**2 - 6)/3
11411,3*sqrt(x**2 + 1) - sin(x),-3*x**4/8 + x**3/6 + 3*x**2/2 - x + 3
11412,-3*cos(x),-x**4/8 + 3*x**2/2 - 3
11413,exp(log(x + 1)*sin(x)),2*x**4/3 - x**3/2 + x**2 + 1
11414,-3*x**3*sin(x),-3*x**4
11415,sin(x),-x**3/6 + x
11416,4*exp(x),x**4/6 + 2*x**3/3 + 2*x**2 + 4*x + 4
11417,sin(x)**2 + 6*sin(x)*cos(x) + 9*cos(x)**2,8*x**4/3 - 4*x**3 - 8*x**2 + 6*x + 9
11418,1/(x**2 + 2*x + 1),5*x**4 - 4*x**3 + 3*x**2 - 2*x + 1
11419,0.5*x,0.5*x
11420,3.5*cos(x),0.145833333333333*x**4 - 1.75*x**2 + 3.5
11421,2*x**3 + sin(x),11*x**3/6 + x
11422,-0.5*x**2,-0.5*x**2
11423,0.5*x**4,0.5*x**4
11424,(x + 1)**0.5*exp(-x**2),0.5859375*x**4 - 0.4375*x**3 - 1.125*x**2 + 0.5*x + 1
11425,-3*x**2 - 2*exp(x),-x**4/12 - x**3/3 - 4*x**2 - 2*x - 2
11426,1/(x**3 + 3*x**2 + 3*x + 1),15*x**4 - 10*x**3 + 6*x**2 - 3*x + 1
11427,0.5*x - 2*cos(x),-x**4/12 + x**2 + 0.5*x - 2
11428,cos(2*sqrt(x**2 + 1)),x**4*(-2*cos(2) + sin(2))/4 - x**2*sin(2) + cos(2)
11429,sqrt(x**2 + 1) - sin(x),-x**4/8 + x**3/6 + x**2/2 - x + 1
11430,0.5*sqrt(x**2 + 1),-0.0625*x**4 + 0.25*x**2 + 0.5
11431,x**3 - 2*sqrt(x**2 + 1),x**4/4 + x**3 - x**2 - 2
11432,-2*x**2 - 3*log(x + 1),x*(3*x**3 - 4*x**2 - 2*x - 12)/4
11433,cos(sqrt(x**2 + 1) - 3*sin(x)),19*x**4*(sin(1) + 2*cos(1))/8 + x**3*(-10*sin(1) + 3*cos(1))/2 - x**2*(sin(1) + 9*cos(1))/2 + 3*x*sin(1) + cos(1)
11434,exp(-x),x**4/24 - x**3/6 + x**2/2 - x + 1
11435,-0.5*sin(x),x*(0.0833333333333333*x**2 - 0.5)
11436,log(36*x**2*exp(2*x) + 36*exp(2*x) + 1),-952680*x**4/1874161 + 984*x**3/50653 + 1404*x**2/1369 + 72*x/37 + log(37)
11437,sin(2*exp(x) + 3*sin(x)),x**4*(-298*cos(2) + 633*sin(2))/24 - x**3*(21*cos(2) + 5*sin(2)) + x**2*(-25*sin(2) + 2*cos(2))/2 + 5*x*cos(2) + sin(2)
11438,1.5*exp(2*x),1.0*x**4 + 2.0*x**3 + 3.0*x**2 + 3.0*x + 1.5
11439,9*x*sin(x),3*x**2*(6 - x**2)/2
11440,9*x**6 - 3.0*x**3*sqrt(x**2 + 1) + 0.25*x**2 + 0.25,-3.0*x**3 + 0.25*x**2 + 0.25
11441,2*sin(x),x*(6 - x**2)/3
11442,cos(3*exp(x) + sin(x)),x**4*(197*cos(3) + 285*sin(3))/24 + x**3*(31*sin(3) - 18*cos(3))/3 - x**2*(16*cos(3) + 3*sin(3))/2 - 4*x*sin(3) + cos(3)
11443,log(2.25*x**2*exp(2*x) + 2.25*exp(2*x) + 1),-0.442999194706068*x**4 + 0.316795630405098*x**3 + 1.11834319526627*x**2 + 1.38461538461538*x + 1.17865499634165
11444,-3*exp(x),-x**4/8 - x**3/2 - 3*x**2/2 - 3*x - 3
11445,3*x - 3*exp(x),-x**4/8 - x**3/2 - 3*x**2/2 - 3
11446,log(0.25*x**4 + 3.0*x**2*exp(x) + 9*exp(2*x) + 1),0.0495999999999999*x**4 - 0.336*x**3 + 0.48*x**2 + 1.8*x + log(10)
11447,8*x**2 - 8*x*sqrt(x**2 + 1) + 4,-4*x**3 + 8*x**2 - 8*x + 4
11448,sin(1.0*x**2*sin(x)),1.0*x**3
11449,-3*sqrt(x**2 + 1)*cos(x),x**4 - 3
11450,0.5*x**2,0.5*x**2
11451,-2*sin(x)**2,2*x**2*(x**2 - 3)/3
11452,log(9*x**2*exp(2*x) + 1),x**2*(-45*x**2/2 + 18*x + 9)
11453,0.25*x**4 + 0.5*x**2*sin(x) + 0.25*sin(x)**2,x**2*(0.166666666666667*x**2 + 0.5*x + 0.25)
11454,-9*sin(x)*cos(x),6*x**3 - 9*x
11455,-0.5*x**2,-0.5*x**2
11456,-x**3,-x**3
11457,log(4*x**2 + 1),x**2*(4 - 8*x**2)
11458,-sqrt(x**2 + 1),x**4/8 - x**2/2 - 1
11459,0.25*x**2,0.25*x**2
11460,-6*sqrt(x**2 + 1)*log(x + 1),x*(3*x**3 - 5*x**2 + 3*x - 6)
11461,(x + 1)**0.5*exp(0.5*x),-0.0104166666666667*x**4 + 0.0833333333333333*x**3 + 0.25*x**2 + 1.0*x + 1
11462,exp(-0.5*x),0.00260416666666667*x**4 - 0.0208333333333333*x**3 + 0.125*x**2 - 0.5*x + 1
11463,cos(3*cos(x)),-x**4*(9*cos(3) + sin(3))/8 + 3*x**2*sin(3)/2 + cos(3)
11464,-3*x**2,-3*x**2
11465,-2*exp(x) + 3*sin(x),-x**4/12 - 5*x**3/6 - x**2 + x - 2
11466,sin(0.5*sqrt(x**2 + 1)),-0.0698309581995296*x**4 + 0.219395640472593*x**2 + 0.479425538604203
11467,12.25*x**2,12.25*x**2
11468,3*x,3*x
11469,exp(-3*sqrt(x**2 + 1)*log(x + 1)),81*x**4/4 - 23*x**3/2 + 6*x**2 - 3*x + 1
11470,log(2.25*x**4 + 2.25*x**2 + 1),x**2*(2.25 - 0.28125*x**2)
11471,cos(x),x**4/24 - x**2/2 + 1
11472,2*sin(x)**2,2*x**2*(3 - x**2)/3
11473,-2*cos(x),-x**4/12 + x**2 - 2
11474,-2*x**3 + 0.5*log(x + 1),x*(-0.125*x**3 - 1.83333333333333*x**2 - 0.25*x + 0.5)
11475,-0.5*x**2 + 3*x,x*(3 - 0.5*x)
11476,-2*log(x + 1) + 3*cos(x),5*x**4/8 - 2*x**3/3 - x**2/2 - 2*x + 3
11477,2*x,2*x
11478,log(4*exp(2*x) + 1),8*x**4/1875 - 16*x**3/125 + 8*x**2/25 + 8*x/5 + log(5)
11479,-0.5*sqrt(x**2 + 1)*sin(x),x*(-0.166666666666667*x**2 - 0.5)
11480,-1.0*x**2,-1.0*x**2
11481,-sin(6*cos(x)**2),2*x**4*(9*sin(6) - cos(6)) + 6*x**2*cos(6) - sin(6)
11482,sin(3*x**3),3*x**3
11483,2*exp(x),x**4/12 + x**3/3 + x**2 + 2*x + 2
11484,2*sqrt(x**2 + 1) + exp(x),-5*x**4/24 + x**3/6 + 3*x**2/2 + x + 3
11485,-sin(2*x**2 + sqrt(x**2 + 1)),x**4*(cos(1) + 25*sin(1))/8 - 5*x**2*cos(1)/2 - sin(1)
11486,3*sqrt(x**2 + 1) - 3*cos(x),x**2*(6 - x**2)/2
11487,exp(-0.5*x**2)*exp(-2*cos(x)),(0.0416666666666667*x**4 + 0.5*x**2 + 1)*exp(-2)
11488,log(9*x**4*cos(x)**2 + 1),9*x**4
11489,exp(-x**3),1 - x**3
11490,exp(-2*x**2)*exp(-0.5*sqrt(x**2 + 1)),(2.59375*x**4 - 2.25*x**2 + 1)*exp(-1/2)
11491,2*x**3 + 2*exp(x),x**4/12 + 7*x**3/3 + x**2 + 2*x + 2
11492,2*x**2 - 0.5*sqrt(x**2 + 1),0.0625*x**4 + 1.75*x**2 - 0.5
11493,-0.5*sqrt(x**2 + 1)*cos(x),0.166666666666667*x**4 - 0.5
11494,exp(3*x**3)*exp(-2*cos(x)),(5*x**4/12 + 3*x**3 + x**2 + 1)*exp(-2)
11495,2*sqrt(x**2 + 1)*log(x + 1),x*(-x**3 + 5*x**2/3 - x + 2)
11496,x,x
11497,-x*cos(x),x**3/2 - x
11498,log(x**2 + 1),-x**4/2 + x**2
11499,-log(x + 1),x*(x**3/4 - x**2/3 + x/2 - 1)
11500,exp(-x**3),1 - x**3
11501,2*x**2 - 2*sin(x),x*(x**2 + 6*x - 6)/3
11502,4*x**2 + 2.0*sqrt(x**2 + 1)*exp(x) + 0.25*exp(2*x) + 4,0.5*x**4 + 1.66666666666667*x**3 + 6.5*x**2 + 2.5*x + 6.25
11503,-0.5*sin(x),x*(0.0833333333333333*x**2 - 0.5)
11504,-0.5*x**2,-0.5*x**2
11505,log(0.0625*x**2*log(x + 1)**2 + 0.0625*log(x + 1)**2 + 1),x**2*(0.117838541666667*x**2 - 0.0625*x + 0.0625)
11506,sin(2*x**3),2*x**3
11507,exp(2.5*exp(x)),(7.4609375*x**4 + 6.14583333333333*x**3 + 4.375*x**2 + 2.5*x + 1)*exp(5/2)
11508,-0.5*log(x + 1),x*(0.125*x**3 - 0.166666666666667*x**2 + 0.25*x - 0.5)
11509,sin(1.0*x*log(x + 1)),x**2*(0.333333333333333*x**2 - 0.5*x + 1.0)
11510,cos(0.5*x**3 + 0.5*sqrt(x**2 + 1)),0.00253964110368854*x**4 - 0.239712769302102*x**3 - 0.119856384651051*x**2 + 0.877582561890373
11511,4*sqrt(x**2 + 1)*log(x + 1),2*x*(-3*x**3 + 5*x**2 - 3*x + 6)/3
11512,cos(4*sqrt(x**2 + 1)*sin(x)),16*x**4/3 - 8*x**2 + 1
11513,-2*x**2,-2*x**2
11514,-0.25*x**3*log(x + 1),-0.25*x**4
11515,-x**2 - 2*sin(x),x*(x**2 - 3*x - 6)/3
11516,3*log(x + 1),x*(-3*x**3 + 4*x**2 - 6*x + 12)/4
11517,4*log(x + 1)**2 - 4*log(x + 1)*sin(x) + sin(x)**2,x**2*(8*x**2 - 6*x + 3)/3
11518,-3*exp(x)*log(x + 1),x*(-2*x**2 - 3*x - 6)/2
11519,3*x**3 + 3*cos(x),x**4/8 + 3*x**3 - 3*x**2/2 + 3
11520,sin(x),-x**3/6 + x
11521,x - 2*log(x + 1),x*(x**3/2 - 2*x**2/3 + x - 1)
11522,exp(3*sqrt(x**2 + 1)),(3*x**4 + 6*x**2 + 4)*exp(3)/4
11523,-0.5*sqrt(x**2 + 1)*sin(x),x*(-0.166666666666667*x**2 - 0.5)
11524,-6*log(x + 1)*cos(x),x*(x**2 + 3*x - 6)
11525,-0.5*x**3,-0.5*x**3
11526,-exp(x),-x**4/24 - x**3/6 - x**2/2 - x - 1
11527,sqrt(x**2 + 1)*cos(x),1 - x**4/3
11528,9*x**2 + 9,9*x**2 + 9
11529,36*exp(2*x)*sin(x)**2,x**2*(60*x**2 + 72*x + 36)
11530,exp(-1)*exp(-x**2),(x**4/2 - x**2 + 1)*exp(-1)
11531,0.5*log(x + 1) + 2*cos(x),-0.0416666666666667*x**4 + 0.166666666666667*x**3 - 1.25*x**2 + 0.5*x + 2
11532,4*x**2,4*x**2
11533,sin(x),-x**3/6 + x
11534,exp(-2*exp(x)),(-x**4/4 + x**3/3 + x**2 - 2*x + 1)*exp(-2)
11535,log(log(x + 1)**2 + 1),x**2*(5*x**2/12 - x + 1)
11536,-sin(x),x**3/6 - x
11537,cos(log(x + 1)),-5*x**4/12 + x**3/2 - x**2/2 + 1
11538,sin(x)**2,-x**4/3 + x**2
11539,3*x*sqrt(x**2 + 1),3*x*(x**2 + 2)/2
11540,-2*exp(x),-x**4/12 - x**3/3 - x**2 - 2*x - 2
11541,3*x**2*sqrt(x**2 + 1),3*x**2*(x**2 + 2)/2
11542,-sin(0.5*x),x*(0.0208333333333333*x**2 - 0.5)
11543,-sin(x - 3*cos(x)),x**4*(21*cos(3) - 26*sin(3))/24 + x**3*(-9*sin(3) + cos(3))/6 - x**2*(3*cos(3) + sin(3))/2 - x*cos(3) + sin(3)
11544,-2*sin(x),x*(x**2 - 6)/3
11545,cos(sqrt(x**2 + 1)),-sqrt(2)*x**4*cos(pi/4 + 1)/8 - x**2*sin(1)/2 + cos(1)
11546,x*exp(-0.5*sin(x)) + exp(-0.5*sin(x)),0.0234375*x**4 + 0.1875*x**3 - 0.375*x**2 + 0.5*x + 1
11547,3*x + cos(x),x**4/24 - x**2/2 + 3*x + 1
11548,-x**3 - 3*sqrt(x**2 + 1),3*x**4/8 - x**3 - 3*x**2/2 - 3
11549,2*x**2,2*x**2
11550,-3*x**2 - 2*sin(x),x*(x**2 - 9*x - 6)/3
11551,3*sqrt(x**2 + 1)*sin(x),x*(x**2 + 3)
11552,0.5*sin(x),x*(0.5 - 0.0833333333333333*x**2)
11553,-3*cos(x),-x**4/8 + 3*x**2/2 - 3
11554,(x + 1)**(-0.5),0.2734375*x**4 - 0.3125*x**3 + 0.375*x**2 - 0.5*x + 1
11555,1.0*x**4,1.0*x**4
11556,exp(6*log(x + 1)*cos(x)),-3*x**4/2 + 17*x**3 + 15*x**2 + 6*x + 1
11557,cos(0.5*cos(x)),-0.0374124871133284*x**4 + 0.119856384651051*x**2 + 0.877582561890373
11558,1.5*x*cos(x),x*(1.5 - 0.75*x**2)
11559,-sin(0.25*x*log(x + 1)),x**2*(-0.0833333333333333*x**2 + 0.125*x - 0.25)
11560,3*exp(x)*cos(x),-x**4/2 - x**3 + 3*x + 3
11561,3*x**2,3*x**2
